ID,Category,Region,WingStatus,Inventory ID,Country,Airline,Wing Identification,Circa,Material,Size,Hallmark,Clutch/Screw/Pin,Year Acquired,Source,Acquired by,Cost,Sale/Trade,Market Value,Condition,Date MV,Thumbnail,Photo,Reverse Photo,Memo,Additional Notes,Status
1119,C,1,Yes,USA-C-UAL-220,USA,United Air Lines,Pilot - 4 Diamonds w/ wreath & ruby,1980-2003,Metal,,"Leavens Mfg. Attleboro, Mass.",Screw,3-Aug,Purchased - Capt John Parrott (UAL),Purchase,$105.00 ,,,Excellent,,small_usacual220.jpg,usacual220.jpg,nopicture.gif,Management 35-Year Service,,A
1120,C,3,Yes,YUG-C-ADR-010,Yugoslavia,Adria,Bronze - Engineer ?,,Metal,,,,,,,,,,,,nopicture.gif,nopicture.gif,nopicture.gif,,letter A16,A
1121,C,3,Yes,YUG-C-ADR-020,Yugoslavia,Adria,Silver - FO ?,,Metal,,,,,,,,,,,,nopicture.gif,nopicture.gif,nopicture.gif,,,A
1122,C,3,Yes,YUG-C-ADR-030,Yugoslavia,Adria,Gold - Captain ?,,Metal,,,,,,,,,,,,nopicture.gif,nopicture.gif,nopicture.gif,,,A
1123,C,4,Yes,ZAF-C-SAA-030,South Africa,South Africa Airways,Flight Engineer,,Metal,,,Clutch,,,,,,,Excellent,,small_zafcsaa30.jpg,zafcsaa30.jpg,nopicture.gif,,,A
1124,C,4,Yes,ZAF-C-SAA-040,South Africa,South Africa Airways,Pilot,,Metal,,,Clutch,,,,,,,Excellent,,small_zafcsaa40.jpg,zafcsaa40.jpg,nopicture.gif,,,A
1125,C,4,Yes,ZAF-C-SAA-060,South Africa,South Africa Airways,Pilot,1997,Metal,,Connoisseur Cape Town R.S.A.,Clutch,Jan-98,Trade with Mike B,,,,,Excellent,,small_zafcsaa60.jpg,zafcsaa60.jpg,nopicture.gif,,,A
1126,F,2,For Sale,ARG-M-AF-020FS,Argentina,Air Force,Pilot,2003,Metal,,,Pin,2003,Air Force Clothing Sales,Purchased,$20.00 ,Sale or Trade,$50 ,Mint,,small_argmaf20fs.jpg,argmaf20fs.jpg,nopicture.gif,R. Gomez - Name of actual pilot in the Argentina AF,,A
1127,F,5,For Sale,PAK-M-AF-050FS,Pakistan,Air Force,Pilot - White (Fighter Pilot),,Cloth,,,,1991,,,,SALE OR TRADE,$20 ,Excellent,,small_pakmaf50.jpg,pakmaf50.jpg,nopicture.gif,,,A
1128,F,5,For Sale,PAK-M-AF-060FS,Pakistan,Air Force,Pilot - Red (Group Capt & Above),,Cloth,,,,1991,,,,SOLD,,Excellent,,small_pakmaf60.jpg,pakmaf60.jpg,nopicture.gif,,,A
1129,F,5,For Sale,PAK-M-AF-070FS,Pakistan,Air Force,Pilot - Blue (Transport Pilot),,Cloth,,,,1991,,,,SALE or TRADE,$20 ,Excellent,,small_pakmaf70.jpg,pakmaf70.jpg,nopicture.gif,,,A
1130,M,2,Yes,ARG-M-A-020,Argentina,Army,Pilot,,Metal,,,Pin,,,,,,,Mint,,small_argma20.jpg,argma20.jpg,nopicture.gif,,,A
1131,M,2,Yes,ARG-M-A-030,Argentina,Army,Pilot,2003,Metal,,,Pin,2003,,Purchased,$7.00 ,,,Mint,,small_argma30.jpg,argma30.jpg,nopicture.gif,The badge should have pilot name below coat of arms.,,A
1132,M,2,Yes,ARG-M-AF-020,Argentina,Air Force,Pilot,2003,Metal,,,Clutch,2003,Donated - Lt Col Carlos A. Rinke,Donation,$20.00 ,,,Mint,,small_argmaf20.jpg,argmaf20.jpg,nopicture.gif,Carlos A. Rinke - Name of Pilot a Lt Col,,A
1133,M,2,Yes,ARG-M-AF-030,Argentina,Air Force,Pilot,2003,Metal,,,Clutch,2003,,Purchased,$25.00 ,,,Mint,,small_argmaf30.jpg,argmaf30.jpg,nopicture.gif,A. Galliani - Name of pilot,,A
1134,M,2,Yes,ARG-M-N-030,Argentina,Navy,Basic Pilot ??? Unconfirmed,,Metal,,,Pin,2003,,Purchased,$5.00 ,,,Mint,,small_argmn30.jpg,argmn30.jpg,nopicture.gif,Perhaps basic badge for Naval Officers in the Aviation Corps ,,A
1135,M,2,Yes,ARG-M-N-035,Argentina,Navy,Senior Pilot  ??? Unconfirmed,,Metal,,,Pin,2003,,Purchased,$5.00 ,,,Mint,,small_argmn35.jpg,argmn35.jpg,nopicture.gif,Unknown purpose ,M2 letter,A
